,distance_haversine,trip_direction,Fare,Additional Charges,work_day,month,hour,hour_temp,hour_wind,rain,metro_x,metro_y,pick_dist_dt,drop_dist_dt,pct_bach_x,median_income_x,sex_ratio_x,pct_non_white_x,pct_age_18_29_x,pct_no_car_x,pct_bach_y,median_income_y,sex_ratio_y,pct_non_white_y,median_age_y,pct_no_car_y,residential_den_x,empoloyment_den_x,network_den_x,dist_to_tran_x,walkability_x,residential_den_y,empoloyment_den_y,network_den_y,dist_to_tran_y,walkability_y
559485,6.075495558534393,-24.71270677573771,10.0,2.55,1,2,9,24.0,9.0,0,1,0,9.72962743198195,3.8808259597283183,21.8,99440,86.3,25.90000000000001,27.615726062143306,25.0,15.9,59408,93.8,27.3,32.3,26.4,1.5803802812982484,3.1850715026539937,3.086486567276955,310.8025,16.5,0.7278962644097359,0.8832952280091213,2.605827988610908,159.14333333333337,10.666666666666668
618542,6.651051874320056,-55.19611148594411,15.0,2.55,1,5,22,41.0,6.0,0,1,1,8.557364297802966,1.9220248278407963,42.4,100708,94.9,26.3,36.33516053249804,54.6,31.9,109643,95.1,12.599999999999996,29.5,24.1,-0.4012002839059567,0.2024724642319611,1.686003984697088,358.3671428571429,11.45833333333333,2.1570111195682644,2.4285078675990284,3.366606542190839,232.685,13.375
315896,3.099056530384015,96.62706876787298,5.0,2.55,1,2,23,18.0,5.0,0,0,0,9.450919588683831,12.2189586303513,17.0,71322,94.1,29.90000000000001,19.619793934116963,18.1,29.2,112386,101.3,18.900000000000013,35.1,14.5,-2.5476828768809594,-3.269954469595775,1.0214277080577103,524.9499999999998,6.14705882352941,1.2226446284863992,2.0000150876295755,3.1578451801616203,298.264,15.3
555083,3.072780881653694,-123.15188467642807,5.0,2.55,1,2,20,28.0,10.0,0,0,1,0.9141164186559159,2.9840662656239587,17.1,51576,129.4,47.3,19.63394342762064,28.4,34.9,94667,132.9,39.9,30.0,50.0,0.7795608010760473,0.0802100371787997,2.685571847428983,380.355,11.302469135802472,2.7945446981159607,7.107328961307633,3.875154146401044,123.385,18.166666666666668
343928,8.256170135530933,-73.10734365335558,10.0,2.55,1,5,1,67.0,16.0,0,1,0,8.40189387899318,0.2704668475477904,60.1,176000,86.0,31.3,71.2234706616729,34.5,28.5,59942,96.2,17.299999999999994,34.8,52.6,-1.0700474434044944,1.0885710824612491,1.7131107825478114,425.8025,11.812500000000002,-1.3633733439784357,-2.1115119483625593,1.1358321861776683,444.2192307692309,8.949494949494948
698526,3.457309756241299,138.87033262174222,5.0,2.55,1,6,20,64.0,7.0,0,0,0,1.7513223580128938,4.681027665851799,35.2,141806,99.2,21.700000000000006,18.97117840204305,17.1,48.3,121318,126.5,28.5,33.2,43.1,-1.4215754597744932,-2.285553009360352,1.2626702065887527,236.71,8.703703703703704,4.345970692031494,5.341512303206195,4.19466086701408,161.82666666666668,17.055555555555557
1142267,4.486481964183293,102.53809491079303,5.0,2.55,1,7,14,71.0,7.0,0,0,1,1.9067803982462668,2.612935909258161,37.9,98186,79.4,18.3,29.44444444444445,51.1,42.4,102303,86.8,49.4,35.3,15.9,4.416219271293933,5.451764016701431,3.4891598199992417,259.73333333333335,15.83333333333333,-0.9688668893833012,-1.295283388568607,1.3806365648622323,348.1171428571429,8.120000000000001
146349,4.2241160553349575,94.21809921270855,20.0,2.55,1,11,18,38.0,3.0,0,0,1,3.493850624827746,7.236987553889662,32.5,128750,128.8,11.700000000000005,40.85908852802515,26.3,28.4,132794,133.8,23.3,33.6,13.0,0.6497936548473009,-0.0076195664405377,2.3570223533311827,422.26142857142855,12.777777777777779,1.1961485189875571,2.1219441092497044,3.2224922624741112,654.738,15.100000000000005
170610,1.668257703559857,-26.02812330675432,10.0,2.55,1,8,23,52.0,7.0,0,1,1,2.2474063365515717,1.0683666025646807,43.7,116909,92.3,24.099999999999994,27.124598250990356,42.3,35.4,128243,107.1,14.599999999999996,33.5,27.2,-1.5746798528603168,-0.1882143687453562,1.1431056366278582,377.6207142857143,10.62,-0.7007188575579879,0.1802263447428147,1.4527003679120625,275.3755555555556,11.5679012345679
547521,6.368849823078481,83.09163173919883,10.0,2.55,0,12,13,40.0,11.0,0,0,0,15.1010473923915,8.988129474404172,57.0,38852,146.1,35.2,41.74246050741982,38.7,5.8,28393,89.0,91.5,36.6,39.2,-1.9338807540093317,-1.451410610325362,1.163841457629561,328.4807142857142,13.009803921568627,2.572984712306171,0.9068514561955257,2.9670951944654136,237.3775,12.708333333333332
677650,2.4721867659204033,0.1094588310417301,5.0,2.55,1,6,19,41.0,6.0,0,0,0,12.941092071876282,12.04858399745106,41.5,90288,92.0,18.400000000000013,14.389799635701275,23.8,13.3,40011,124.0,42.8,35.9,23.8,-1.8621816087837049,-2.131261125326754,1.1667144312355378,459.1625581395346,8.554526748971195,-2.3261538948178484,-2.6172238869415656,1.0831867097990622,408.81833333333327,6.617424242424241
286222,2.3807455717769903,-95.24892527174896,5.0,7.55,1,8,7,56.0,5.0,0,0,1,0.5930295341181974,2.94149831504367,42.7,97188,78.6,67.8,13.687436159346273,18.4,46.7,101679,94.6,36.6,32.5,39.8,0.9612157915873883,2.5641070357951747,3.5722246488837968,244.08,16.833333333333336,0.0376200635388619,-0.4455859525352778,2.056691930659961,502.02499999999986,10.314814814814817
