state,county,tract,NAME,pct_bach,median_income,total_pop,sex_ratio,pct_white,median_age,pct_no_car,pct_unemp,age_18_29,pct_age_18_29
17,031,230700,"Census Tract 2307, Cook County, Illinois",4.3,40636,5899,95.8,30.2,31.1,19.9,3.5,941,15.951856246821494
17,031,240200,"Census Tract 2402, Cook County, Illinois",24.8,128864,1641,111.7,87.0,33.3,27.1,3.0,415,25.28945764777575
17,031,241400,"Census Tract 2414, Cook County, Illinois",25.2,104167,5230,102.6,83.4,30.7,26.9,1.2,1865,35.65965583173996
17,031,242400,"Census Tract 2424, Cook County, Illinois",33.4,85000,2679,101.4,92.5,32.9,15.7,2.7,767,28.630085852930197
17,031,242500,"Census Tract 2425, Cook County, Illinois",20.3,68036,3282,125.7,73.3,33.6,29.8,3.2,625,19.043266301035956
17,031,242600,"Census Tract 2426, Cook County, Illinois",17.9,57362,5752,95.4,77.6,31.4,26.6,2.4,1572,27.329624478442284
17,031,242700,"Census Tract 2427, Cook County, Illinois",10.4,48333,1669,121.9,64.0,33.4,39.7,6.9,335,20.07189934092271
17,031,243100,"Census Tract 2431, Cook County, Illinois",25.4,107734,2044,91.0,82.5,33.6,14.1,1.9,376,18.395303326810176
17,031,740300,"Census Tract 7403, Cook County, Illinois",18.1,118640,4947,98.8,92.4,40.1,1.1,2.4,465,9.399636143117041
17,031,530600,"Census Tract 5306, Cook County, Illinois",4.9,32566,2653,87.9,0.4,38.1,22.4,12.2,376,14.172634753109687
17,031,804607,"Census Tract 8046.07, Cook County, Illinois",15.6,97969,6919,98.1,75.0,43.9,4.3,2.9,1098,15.869345281109986
17,031,804709,"Census Tract 8047.09, Cook County, Illinois",11.6,62179,6254,93.6,57.4,40.7,16.1,2.2,1067,17.06108090821874
17,031,805001,"Census Tract 8050.01, Cook County, Illinois",19.7,102135,4832,107.6,97.0,45.7,1.3,2.2,435,9.00248344370861
17,031,805110,"Census Tract 8051.10, Cook County, Illinois",14.0,76350,4396,95.2,89.4,50.9,8.6,0.9,384,8.735213830755233
17,031,805201,"Census Tract 8052.01, Cook County, Illinois",15.1,101552,3920,97.6,75.4,51.7,0.8,3.8,408,10.408163265306122
17,031,805202,"Census Tract 8052.02, Cook County, Illinois",20.0,83894,4378,97.0,82.7,40.1,6.2,1.3,530,12.105984467793512
17,031,830202,"Census Tract 8302.02, Cook County, Illinois",11.0,96607,3494,101.5,25.6,40.4,2.4,5.4,344,9.845449341728678
17,031,819000,"Census Tract 8190, Cook County, Illinois",35.0,135208,4538,83.1,97.5,41.9,12.1,1.0,285,6.28029969149405
17,031,819300,"Census Tract 8193, Cook County, Illinois",12.9,75639,2804,95.3,77.6,35.9,4.3,0.6,376,13.40941512125535
17,031,820400,"Census Tract 8204, Cook County, Illinois",1.1,41144,5715,101.6,60.5,31.5,9.8,8.2,1099,19.230096237970255
17,031,820800,"Census Tract 8208, Cook County, Illinois",3.3,71831,3985,102.8,73.6,34.6,4.6,5.3,580,14.554579673776663
17,031,170100,"Census Tract 1701, Cook County, Illinois",12.1,53882,2058,89.0,82.8,57.2,19.0,4.1,364,17.687074829931973
17,031,170700,"Census Tract 1707, Cook County, Illinois",6.8,73133,3177,88.2,84.8,42.2,6.6,3.8,338,10.638967579477494
17,031,190100,"Census Tract 1901, Cook County, Illinois",4.6,37629,2606,101.2,43.8,35.1,27.1,2.6,374,14.351496546431312
17,031,220500,"Census Tract 2205, Cook County, Illinois",23.5,91389,2607,93.8,83.2,30.6,25.5,1.1,967,37.09244342155735
17,031,826100,"Census Tract 8261, Cook County, Illinois",2.1,47390,6780,83.8,34.2,31.8,12.4,14.8,1191,17.56637168141593
17,031,826304,"Census Tract 8263.04, Cook County, Illinois",6.2,34500,2723,73.9,2.9,36.5,12.3,17.3,492,18.06830701432244
17,031,242300,"Census Tract 2423, Cook County, Illinois",26.2,93980,3306,101.1,86.9,33.6,10.5,0.9,754,22.807017543859647
